0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:20:40 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:20:40 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:21:35 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:21:35 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:23:20 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:23:20 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:23:28 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 2062
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:23:28 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:25:26 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 2162
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:25:26 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:25:35 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:25:35 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:28 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:28 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:37 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:37 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:35:38 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
